nuts2,region_name,unemployment_c1,unemployment_c2
UKI5,Outer London - East and North East (NUTS 2021),,
UKI6,Outer London - South (NUTS 2021),,
UKI7,Outer London - West and North West (NUTS 2021),,
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire (NUTS 2021)",2.966666667,3.8
UKJ2,"Surrey, East and West Sussex (NUTS 2021)",3.266666667,3.933333333
UKJ3,Hampshire and Isle of Wight (NUTS 2021),3.333333333,4.266666667
UKJ4,Kent (NUTS 2021),4.3,5.1
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area (NUTS 2021)",3.033333333,3.4
UKK2,Dorset and Somerset (NUTS 2021),3.466666667,3.633333333
UKK3,Cornwall and Isles of Scilly (NUTS 2021),5.233333333,3.933333333
UKK4,Devon (NUTS 2021),4.666666667,4.333333333
UKL1,West Wales and The Valleys (NUTS 2021),6.133333333,5.333333333
UKL2,East Wales (NUTS 2021),5.433333333,4.4
UKM2,Eastern Scotland (NUTS 2013),5.6,5.2
UKM3,South Western Scotland (NUTS 2013),8.266666667,5.8
UKM5,North Eastern Scotland (NUTS 2021),,3.3
UKM6,Highlands and Islands (NUTS 2021),7.233333333,3
UKM7,Eastern Scotland (NUTS 2021),,
UKM8,West Central Scotland (NUTS 2021),,
UKM9,Southern Scotland (NUTS 2021),,
UKN0,Northern Ireland (UK) (NUTS 2021),6.133333333,4.333333333
